text,page,path,bounds,font_size
corner,0,//Document/Figure,"[-1.1399993896484375, 0.0, 792.0, 612.0]",29.0
Valuation as of 30.05.2025,0,//Document/H1,"[154.3090057373047, 408.6649932861328, 350.35935974121094, 460.9230041503906]",29.0
MESSOS ENTERPRISES LTD.,0,//Document/P,"[154.32000732421875, 376.6510009765625, 341.66294860839844, 386.58299255371094]",13.0
Client Number // 366223 Valuation currency// USD Investment profile// Undefined Risk Profile // Medium-high --Ł -u-Ł Ł ŁŁ 3,0,//Document/Figure[2],"[-1.1399993896484375, 0.0, 792.0, 612.0]",8.0
"Corner Banca SA // Todistrasse27 // Postfach 1640 // 8027 Zurich_Switzerland // Hauptsitz Via Canova 16, 6901 Lugano_Switzerland Tel. +41 44 218 10 20 // Fax +41 44218 1029 // info@corner.ch // corner.ch Swift CBLUCH2280A // Clearing 8490 // CHE-105.962.409 IVA",0,//Document/P[2],"[29.759994506835938, 44.99400329589844, 370.8660430908203, 66.0]",6.0
e,0,//Document/Figure[3],"[-1.1399993896484375, 0.0, 792.0, 612.0]",29.0
corner,1,//Document/H1[2],"[29.279998779296875, 538.0059051513672, 144.14500427246094, 556.9718933105469]",29.0
MESSOS ENTERPRISES LTD. Valuation as of 30.05.2025 Client Number 366223,1,//Document/P[3],"[607.6799926757812, 532.4340057373047, 727.2630615234375, 555.7200012207031]",6.0
Index,1,//Document/H1[3],"[694.5599975585938, 507.9405975341797, 729.4351043701172, 517.0655975341797]",12.5
Summary 1,1,//Document/TOC/TOCI/Span,"[36.96600341796875, 482.83030700683594, 425.1614227294922, 493.80499267578125]",11.0
Asset Allocation 2,1,//Document/TOC/TOCI[2]/Span,"[36.48199462890625, 465.9893035888672, 426.8445739746094, 477.0050048828125]",11.0
Assets and Liabilities Structure 2,1,//Document/TOC/TOCI[3]/Span[2],"[77.03999328613281, 440.7165069580078, 426.7304229736328, 467.59649658203125]",10.5
Currency allocation 3,1,//Document/TOC[2]/TOCI/Span[2],"[77.52299499511719, 423.67649841308594, 426.4147644042969, 450.79649353027344]",10.5
Performance Overview/Evolution 4,1,//Document/TOC[3]/TOCI/Span,"[37.19999694824219, 415.7926025390625, 426.9230499267578, 426.6649932861328]",11.0
Asset Listing 5,1,//Document/TOC[3]/TOCI[2]/Span,"[36.48500061035156, 398.83900451660156, 426.73826599121094, 409.7425994873047]",11.0
Liquidity and liabilities 5,1,//Document/TOC[3]/TOCI[3]/Span[2],"[77.75999450683594, 373.27650451660156, 426.9704132080078, 400.2353973388672]",10.5
Bonds 6,1,//Document/TOC[4]/TOCI/Span[2],"[77.51849365234375, 356.47650146484375, 426.7297821044922, 383.4248962402344]",10.5
Equities 10,1,//Document/TOC[5]/TOCI/Span[2],"[77.95950317382812, 339.91650390625, 427.4122772216797, 366.85589599609375]",10.5
Structured products 11,1,//Document/TOC[6]/TOCI/Span[2],"[77.8125, 322.9868927001953, 428.63221740722656, 349.9965057373047]",10.5
Other assets 13,1,//Document/TOC[7]/TOCI/Span[2],"[77.28750610351562, 306.3059997558594, 429.3537902832031, 333.2033996582031]",10.5
Expected Cash Flows (Overview) 14,1,//Document/TOC[8]/TOCI/Span,"[36.96000671386719, 298.09120178222656, 427.7394714355469, 309.08509826660156]",11.0
Glossary 15,1,//Document/TOC[8]/TOCI[2]/Span,"[36.949005126953125, 281.1181945800781, 427.7970428466797, 292.13409423828125]",11.0
Notices and other information 17,1,//Document/TOC[8]/TOCI[3]/Span,"[36.949005126953125, 264.47520446777344, 427.5205993652344, 275.39210510253906]",11.0
Other assets Liquidity Structured products :.. CHF Currencies SD,2,//Document/Figure[4],"[0.0, 0.0, 792.0, 612.0]",6.0
