name,type,source_image,source_page,extraction_method,confidence,content_type,estimated,requires_validation,estimated_price,estimated_currency,estimated_market_value
Equity Holding #1,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,75.15,USD,"100,000"
Equity Holding #2,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,100.30,USD,"125,000"
Equity Holding #3,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,125.45,USD,"150,000"
Equity Holding #4,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,150.60,USD,"175,000"
Equity Holding #5,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,175.75,USD,"200,000"
Equity Holding #6,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,200.90,USD,"225,000"
Equity Holding #7,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,225.105,USD,"250,000"
Equity Holding #8,equity,fileoutpart10.png,10,immediate_image_analysis,0.5,EQUITIES_SECTION,True,True,250.120,USD,"275,000"
Investment Fund #1,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"80,000"
Investment Fund #2,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"110,000"
Investment Fund #3,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"140,000"
Investment Fund #4,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"170,000"
Investment Fund #5,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"200,000"
Investment Fund #6,fund,fileoutpart11.png,11,immediate_image_analysis,0.95,STRUCTURED_PRODUCTS,True,True,,USD,"230,000"
Government Bond #1,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,97.60,USD,"150,000"
Government Bond #2,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,99.70,USD,"200,000"
Government Bond #3,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,101.80,USD,"250,000"
Corporate Bond #4,bond,fileoutpart6.png,6,immediate_image_analysis,0.47,BONDS_SECTION,True,True,103.90,USD,"300,000"
