name,page,table,extraction_method,quantity,price,market_value,performance,currency,maturity,isin,valorn
CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-,7,9,real_table_parsing,50000,97.1330,48567,0.25%,USD,13.02.2030,,
CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE,7,9,real_table_parsing,276123068,103.1413,112288215,0.53%,USD,17.01.2030,XS2761230684,112288215
LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30,7,9,real_table_parsing,1935,96.9000,275441686,0.51%,USD,07.11.2029,XS2692298537,129157183
GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P,7,9,real_table_parsing,745683,108.0700,690000,3.83%,USD,18.09.2028,XS2665592833,128829182
"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028",7,9,real_table_parsing,42000,99.0990,1530150,7.87%,USD,22.02.2028,XS2588105036,112286204
CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28,7,9,real_table_parsing,2748,99.6227,201993,1.04%,USD,23.02.2027,,
TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S VRN,7,9,real_table_parsing,253020164,100.2000,125350273,1.02%,USD,,XS2530201644,125350273
GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-,8,9,real_table_parsing,238172390,,128883231,,,29.10.2034,XS2381723902,128883231
JPMORGAN CHASE O % NOTES 2024-29.10.34 SERIES 2021-,8,9,real_table_parsing,100000,94.2538,94254,0.48%,USD,17.10.2034,XS2912278723,138689613
BANK OF AMERICA 0% NOTES 2024-17.10.2034,8,9,real_table_parsing,282971283,91.8300,134735316,-7.11%,USD,01.08.2034,XS2848820754,135116008
CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34 GLOBAL RE,8,9,real_table_parsing,89838,99.8200,90000,0.46%,USD,,XS2824054402,135337661
BANK OF AMERICA 0% NOTES 2025-02.06.2036 REG S,9,9,real_table_parsing,307995603,100.1850,138494477,0.19%,USD,28.03.2036,XS3079956036,138494477
WELLS FARGO 0 % EURO MEDIUM TERM NOTES 2025-28.03.36 REGS,9,9,real_table_parsing,303594710,100.0000,143578751,0.00%,USD,28.03.2035,XS2993414619,140610687
RBC LONDON 0% NOTES 2025-28.03.2035,9,9,real_table_parsing,68266,68.2660,100000,0.35%,USD,14.02.2035,XS2964611052,141235167
DEUTSCHE BANK 0 % NOTES 2025-14.02.35,9,9,real_table_parsing,1460151,99.3300,1470000,-0.67%,USD,03.02.2035,,
GOLDMAN SACHS 0% NOTES 2025-03.02.2035,9,9,real_table_parsing,248106611,97.7600,126294402,-2.34%,USD,19.12.2034,XS2381717250,128883267
JPMORGAN CHASE 0% NOTES 2024-19.12.2034,9,9,real_table_parsing,500000,100.2000,496150,2.55%,USD,11.12.2034,,
BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S,9,9,real_table_parsing,295374110,99.1980,138494467,-3.01%,USD,,XS2953741100,
SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S,10,9,real_table_parsing,56174,100.2000,200934,1.03%,USD,08.11.2028,XS0461497009,
DEUTSCHE BANK NOTES 23-08.11.28 VRN,10,9,real_table_parsing,21294,101.6600,722748,3.72%,USD,26.05.2028,CH1269060229,
"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625% RABOBANK29",12,11,real_table_parsing,500000,98.0181,487881,0.33%,USD,17.09.2029,XS2714429128,130738882
EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN WELLS F.,12,11,real_table_parsing,26603,98.9600,690000,-2.07%,USD,21.06.2027,XS2519369867,121050656
NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS,13,11,real_table_parsing,1000000,99.2100,992100,5.10%,USD,27.09.2029,XS2594173093,125443809
NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029,13,11,real_table_parsing,200000,95.8300,191753,-3.26%,USD,20.06.2026,XS1700087403,39877135
"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE",13,11,real_table_parsing,99555,91.0217,100000,0.51%,USD,,,
EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 20,14,11,real_table_parsing,1008.3748,,26129,0.13%,,,,
